frame_index,sim_time,cycles,frame_path,center_x,center_y,heading
1,200.0054931640625,0.6666849772135417,cases/iteration_19__phase_0__nominal/vtk/wake_flow_000001.vti,1344.0,896.0,0.5061464309692383
2,212.50152587890625,0.7083384195963541,cases/iteration_19__phase_0__nominal/vtk/wake_flow_000002.vti,1284.6490478515625,716.1834716796875,0.7022392153739929
3,225.00302124023438,0.7500100708007813,cases/iteration_19__phase_0__nominal/vtk/wake_flow_000003.vti,933.01025390625,619.6487426757812,0.19740606844425201
4,233.72598266601562,0.7790866088867188,cases/iteration_19__phase_0__nominal/vtk/wake_flow_000004.vti,648.9345703125,614.9454956054688,0.22379183769226074
