view,method,run,episode,score,best_score,distance_integral_score,training_return,cfd_steps,teacher_cfd_steps,cumulative_cfd_steps,candidate,iteration
cost,BC-PPO,1,62,-10.572607826867324,-9.771335438198781,-10.572607826867324,-12.682412990853885,8610,131053,669976,,
cost,BC-PPO,1,63,-10.780356863433454,-9.771335438198781,-10.780356863433454,-12.926870051038296,8437,131053,678413,,
cost,BC-PPO,1,64,-10.439133043858408,-9.771335438198781,-10.439133043858408,-12.512526868496245,8763,131053,687176,,
cost,BC-PPO,1,65,-10.323908725158713,-9.771335438198781,-10.323908725158713,-12.378228251925243,8599,131053,695775,,
cost,BC-PPO,1,66,-10.236352238486358,-9.771335438198781,-10.236352238486358,-12.2623128170764,8606,131053,704381,,
cost,BC-PPO,1,67,-10.585799111519757,-9.771335438198781,-10.585799111519757,-12.690648958253115,8432,131053,712813,,
cost,BC-PPO,1,68,-10.61550727643929,-9.771335438198781,-10.61550727643929,-12.735936029146167,8511,131053,721324,,
cost,BC-PPO,1,69,-10.141335318700971,-9.771335438198781,-10.141335318700971,-12.147159913205972,8856,131053,730180,,
cost,BC-PPO,1,70,-10.220913456576026,-9.771335438198781,-10.220913456576026,-12.25383248050088,8609,131053,738789,,
cost,BC-PPO,1,71,-9.947299782911603,-9.771335438198781,-9.947299782911603,-11.905048077668635,8933,131053,747722,,
cost,BC-PPO,1,72,-10.14074317130428,-9.771335438198781,-10.14074317130428,-12.150857372603344,8671,131053,756393,,
cost,BC-PPO,1,73,-10.597208976567583,-9.771335438198781,-10.597208976567583,-12.71304399955106,8593,131053,764986,,
cost,BC-PPO,1,74,-10.359943706248604,-9.771335438198781,-10.359943706248604,-12.418564121140747,8639,131053,773625,,
cost,BC-PPO,1,75,-9.769702400200554,-9.769702400200554,-9.769702400200554,-11.699417893229644,9306,131053,782931,,
cost,BC-PPO,1,76,-10.223013761216828,-9.769702400200554,-10.223013761216828,-12.250872009309433,8775,131053,791706,,
cost,BC-PPO,1,77,-10.40872967432627,-9.769702400200554,-10.40872967432627,-12.481508022982442,8925,131053,800631,,
cost,BC-PPO,1,78,-10.548844164188036,-9.769702400200554,-10.548844164188036,-12.657595421400266,9034,131053,809665,,
cost,BC-PPO,1,79,-10.438755566026849,-9.769702400200554,-10.438755566026849,-12.52273454249478,9293,131053,818958,,
cost,BC-PPO,1,80,-10.237781433250007,-9.769702400200554,-10.237781433250007,-12.268174110294765,9514,131053,828472,,
cost,BC-PPO,1,81,-10.693430265298675,-9.769702400200554,-10.693430265298675,-12.830901615712305,8967,131053,837439,,
cost,BC-PPO,1,82,-10.41578432583715,-9.769702400200554,-10.41578432583715,-12.490495500246407,9146,131053,846585,,
cost,BC-PPO,1,83,-10.845794015876116,-9.769702400200554,-10.845794015876116,-13.01796817391542,9129,131053,855714,,
cost,BC-PPO,1,84,-10.371922089551349,-9.769702400200554,-10.371922089551349,-12.427506292748673,9219,131053,864933,,
cost,BC-PPO,1,85,-10.460178588527047,-9.769702400200554,-10.460178588527047,-12.542112365888167,9283,131053,874216,,
cost,BC-PPO,1,86,-10.102966680338058,-9.769702400200554,-10.102966680338058,-12.102263506292825,9687,131053,883903,,
cost,BC-PPO,1,87,-10.380252286150121,-9.769702400200554,-10.380252286150121,-12.44465018729372,9477,131053,893380,,
cost,BC-PPO,1,88,-10.446345576544543,-9.769702400200554,-10.446345576544543,-12.532551779302986,9605,131053,902985,,
cost,BC-PPO,1,89,-10.518652615726817,-9.769702400200554,-10.518652615726817,-12.60934718118235,9476,131053,912461,,
cost,BC-PPO,1,90,-10.69631513561947,-9.769702400200554,-10.69631513561947,-12.824977579346662,9520,131053,921981,,
cost,BC-PPO,1,91,-10.702911898328257,-9.769702400200554,-10.702911898328257,-12.839871507096078,9498,131053,931479,,
cost,BC-PPO,1,92,-10.689691960127607,-9.769702400200554,-10.689691960127607,-12.821504288443565,9746,131053,941225,,
cost,BC-PPO,1,93,-10.266813271215067,-9.769702400200554,-10.266813271215067,-12.297083473587591,9724,131053,950949,,
cost,BC-PPO,1,94,-10.781603785420016,-9.769702400200554,-10.781603785420016,-12.932527660855067,9547,131053,960496,,
cost,BC-PPO,1,95,-11.20756530850035,-9.769702400200554,-11.20756530850035,-13.457343062158113,9306,131053,969802,,
cost,BC-PPO,1,96,-10.357182702216619,-9.769702400200554,-10.357182702216619,-12.410005074725001,9776,131053,979578,,
cost,BC-PPO,1,97,-10.735443828414423,-9.769702400200554,-10.735443828414423,-12.87732037603725,9681,131053,989259,,
cost,BC-PPO,1,98,-11.123922662065954,-9.769702400200554,-11.123922662065954,-13.351992427932796,9290,131053,998549,,
cost,BC-PPO,1,99,-10.227327264194944,-9.769702400200554,-10.227327264194944,-12.262532255662812,10660,131053,1009209,,
cost,BC-PPO,1,100,-10.631055512662394,-9.769702400200554,-10.631055512662394,-12.747154922144764,9710,131053,1018919,,
cost,BC-PPO,1,101,-10.991879917733122,-9.769702400200554,-10.991879917733122,-13.189805289229879,9448,131053,1028367,,
cost,BC-PPO,1,102,-10.707000245966643,-9.769702400200554,-10.707000245966643,-12.845594040549832,9869,131053,1038236,,
cost,BC-PPO,1,103,-10.734461082568506,-9.769702400200554,-10.734461082568506,-12.874630614174686,10197,131053,1048433,,
cost,BC-PPO,1,104,-10.485836261168126,-9.769702400200554,-10.485836261168126,-12.569880362148746,10130,131053,1058563,,
cost,BC-PPO,1,105,-10.962842989228509,-9.769702400200554,-10.962842989228509,-13.155496146392961,9638,131053,1068201,,
cost,BC-PPO,1,106,-10.371033065625944,-9.769702400200554,-10.371033065625944,-12.427060200958774,10253,131053,1078454,,
cost,BC-PPO,1,107,-10.591730460652373,-9.769702400200554,-10.591730460652373,-12.701423920128805,9592,131053,1088046,,
cost,BC-PPO,1,108,-10.811030037990832,-9.769702400200554,-10.811030037990832,-12.970403508685257,9836,131053,1097882,,
cost,BC-PPO,1,109,-10.764736185720041,-9.769702400200554,-10.764736185720041,-12.918796434085943,9366,131053,1107248,,
cost,BC-PPO,1,110,-10.7533719800727,-9.769702400200554,-10.7533719800727,-12.902596852898613,9095,131053,1116343,,
cost,BC-PPO,1,111,-10.881891893385516,-9.769702400200554,-10.881891893385516,-13.06126706573297,9557,131053,1125900,,
cost,BC-PPO,1,112,-10.997924926701263,-9.769702400200554,-10.997924926701263,-13.201962259653842,9197,131053,1135097,,
cost,BC-PPO,1,113,-10.629592973129162,-9.769702400200554,-10.629592973129162,-12.749760118979927,9408,131053,1144505,,
cost,BC-PPO,1,114,-10.45927864934091,-9.769702400200554,-10.45927864934091,-12.535656370914486,9737,131053,1154242,,
cost,BC-PPO,1,115,-10.334464960400464,-9.769702400200554,-10.334464960400464,-12.38425278696519,10212,131053,1164454,,
cost,BC-PPO,1,116,-10.557540058752252,-9.769702400200554,-10.557540058752252,-12.65872848524469,9703,131053,1174157,,
cost,BC-PPO,1,117,-10.528372337867943,-9.769702400200554,-10.528372337867943,-12.622076618130695,9821,131053,1183978,,
cost,BC-PPO,1,118,-10.324220904785925,-9.769702400200554,-10.324220904785925,-12.369465286967356,9939,131053,1193917,,
cost,BC-PPO,1,119,-10.610272348685323,-9.769702400200554,-10.610272348685323,-12.717374469011814,9615,131053,1203532,,
cost,BC-PPO,1,120,-10.68590235160877,-9.769702400200554,-10.68590235160877,-12.809330275299464,9828,131053,1213360,,
cost,BC-PPO,1,121,-10.463953716579177,-9.769702400200554,-10.463953716579177,-12.552627456300659,9837,131053,1223197,,
cost,BC-PPO,1,122,-10.959725573243341,-9.769702400200554,-10.959725573243341,-13.150608331923566,9232,131053,1232429,,
cost,BC-PPO,1,123,-10.845131001199984,-9.769702400200554,-10.845131001199984,-13.0161162248954,9653,131053,1242082,,
cost,BC-PPO,1,124,-11.053048070054015,-9.769702400200554,-11.053048070054015,-13.268974639633951,9501,131053,1251583,,
cost,BC-PPO,1,125,-10.774968940099503,-9.769702400200554,-10.774968940099503,-12.928465411804986,9570,131053,1261153,,
cost,BC-PPO,1,126,-10.8858830477313,-9.769702400200554,-10.8858830477313,-13.063559008932828,9895,131053,1271048,,
cost,BC-PPO,1,127,-10.750644598236397,-9.769702400200554,-10.750644598236397,-12.894568524429772,9279,131053,1280327,,
cost,BC-PPO,1,128,-10.629099068009571,-9.769702400200554,-10.629099068009571,-12.747613834481871,9690,131053,1290017,,
cost,BC-PPO,1,129,-10.883645090459526,-9.769702400200554,-10.883645090459526,-13.06172901573777,9329,131053,1299346,,
cost,BC-PPO,1,130,-10.668176446109861,-9.769702400200554,-10.668176446109861,-12.804114252596017,9686,131053,1309032,,
cost,BC-PPO,1,131,-10.454049335205202,-9.769702400200554,-10.454049335205202,-12.539235248845252,9606,131053,1318638,,
cost,BC-PPO,1,132,-10.389359470145816,-9.769702400200554,-10.389359470145816,-12.464393904549311,10061,131053,1328699,,
cost,BC-PPO,1,133,-10.57889749205929,-9.769702400200554,-10.57889749205929,-12.691534959453127,9873,131053,1338572,,
cost,BC-PPO,1,134,-10.615711209107465,-9.769702400200554,-10.615711209107465,-12.73392181958972,10188,131053,1348760,,
cost,BC-PPO,1,135,-10.55028537933288,-9.769702400200554,-10.55028537933288,-12.655168383415367,10081,131053,1358841,,
cost,BC-PPO,1,136,-10.55245154494109,-9.769702400200554,-10.55245154494109,-12.65552210240233,9976,131053,1368817,,
cost,BC-PPO,1,137,-10.537855976175296,-9.769702400200554,-10.537855976175296,-12.629178621372448,10105,131053,1378922,,
cost,BC-PPO,1,138,-10.444072424634513,-9.769702400200554,-10.444072424634513,-12.510420643189986,10252,131053,1389174,,
cost,BC-PPO,1,139,-10.247587504658318,-9.769702400200554,-10.247587504658318,-12.278833165826303,10147,131053,1399321,,
cost,BC-PPO,1,140,-10.41536294585339,-9.769702400200554,-10.41536294585339,-12.481632980915673,9957,131053,1409278,,
cost,BC-PPO,1,141,-10.481678794934545,-9.769702400200554,-10.481678794934545,-12.560791166207075,9842,131053,1419120,,
cost,BC-PPO,1,142,-10.321510932000432,-9.769702400200554,-10.321510932000432,-12.353308539180873,9858,131053,1428978,,
cost,BC-PPO,1,143,-10.200343335469778,-9.769702400200554,-10.200343335469778,-12.21354932606052,10133,131053,1439111,,
cost,BC-PPO,1,144,-10.2288903595803,-9.769702400200554,-10.2288903595803,-12.248146966207653,10228,131053,1449339,,
cost,BC-PPO,1,145,-10.311340348824492,-9.769702400200554,-10.311340348824492,-12.341905022942127,10619,131053,1459958,,
cost,BC-PPO,1,146,-10.354692457562162,-9.769702400200554,-10.354692457562162,-12.39497793921804,10390,131053,1470348,,
cost,BC-PPO,1,147,-10.214927392988583,-9.769702400200554,-10.214927392988583,-12.2237871590476,10360,131053,1480708,,
cost,BC-PPO,1,148,-10.176948895993208,-9.769702400200554,-10.176948895993208,-12.18318073741183,9948,131053,1490656,,
cost,BC-PPO,1,149,-10.043873057776747,-9.769702400200554,-10.043873057776747,-12.00696459907336,10433,131053,1501089,,
cost,BC-PPO,1,150,-9.980057278199693,-9.769702400200554,-9.980057278199693,-11.936987205940136,10024,131053,1511113,,
cost,BC-PPO,1,151,-10.571310216496501,-9.769702400200554,-10.571310216496501,-12.63441645604045,10804,131053,1521917,,
cost,BC-PPO,1,152,-10.476407613999887,-9.769702400200554,-10.476407613999887,-12.518321373776546,11371,131053,1533288,,
cost,BC-PPO,1,153,-9.83476034981962,-9.769702400200554,-9.83476034981962,-11.770196426531772,10014,131053,1543302,,
cost,BC-PPO,1,154,-9.695433457458027,-9.695433457458027,-9.695433457458027,-11.598830918783912,9954,131053,1553256,,
cost,BC-PPO,1,155,-9.743207795281727,-9.695433457458027,-9.743207795281727,-11.666710573069315,10147,131053,1563403,,
cost,BC-PPO,1,156,-9.674221618127696,-9.674221618127696,-9.674221618127696,-11.572218922716212,9742,131053,1573145,,
cost,BC-PPO,1,157,-9.785367387111437,-9.674221618127696,-9.785367387111437,-11.705241339975158,9846,131053,1582991,,
cost,BC-PPO,1,158,-9.855131872035752,-9.674221618127696,-9.855131872035752,-11.789697417016995,10072,131053,1593063,,
cost,BC-PPO,1,159,-9.897553097917474,-9.674221618127696,-9.897553097917474,-11.838925914321768,10404,131053,1603467,,
cost,BC-PPO,1,160,-9.798175791352262,-9.674221618127696,-9.798175791352262,-11.722609983440025,10320,131053,1613787,,
cost,BC-PPO,1,161,-10.079981319768686,-9.674221618127696,-10.079981319768686,-12.06268027814621,10270,131053,1624057,,
cost,BC-PPO,1,162,-10.044447267158358,-9.674221618127696,-10.044447267158358,-12.01742532390177,10018,131053,1634075,,
cost,BC-PPO,1,163,-10.102939006204188,-9.674221618127696,-10.102939006204188,-12.092614204207965,9750,131053,1643825,,
cost,BC-PPO,1,164,-10.044324566858752,-9.674221618127696,-10.044324566858752,-12.019101494987206,9709,131053,1653534,,
cost,BC-PPO,1,165,-10.15754954659543,-9.674221618127696,-10.15754954659543,-12.164535708805728,9744,131053,1663278,,
cost,BC-PPO,1,166,-10.364595992070967,-9.674221618127696,-10.364595992070967,-12.403539519157695,10393,131053,1673671,,
cost,BC-PPO,1,167,-9.916052334012228,-9.674221618127696,-9.916052334012228,-11.858251983518036,10078,131053,1683749,,
cost,BC-PPO,1,168,-9.885127413629352,-9.674221618127696,-9.885127413629352,-11.830621949455416,10419,131053,1694168,,
cost,BC-PPO,1,169,-9.977742041173427,-9.674221618127696,-9.977742041173427,-11.927029243173356,10565,131053,1704733,,
cost,BC-PPO,1,170,-9.943310084156298,-9.674221618127696,-9.943310084156298,-11.887027454225088,10600,131053,1715333,,
cost,BC-PPO,1,171,-9.734007244079242,-9.674221618127696,-9.734007244079242,-11.642485032832719,10528,131053,1725861,,
cost,BC-PPO,1,172,-9.832510580771485,-9.674221618127696,-9.832510580771485,-11.753870777859014,10855,131053,1736716,,
cost,BC-PPO,1,173,-10.85073630981176,-9.674221618127696,-10.85073630981176,-12.958462748588309,11111,131053,1747827,,
cost,BC-PPO,1,174,-9.816634753560562,-9.674221618127696,-9.816634753560562,-11.735792985283247,10751,131053,1758578,,
cost,BC-PPO,1,175,-9.571096883300225,-9.571096883300225,-9.571096883300225,-11.442374181183615,11221,131053,1769799,,
cost,BC-PPO,1,176,-10.660468847387238,-9.571096883300225,-10.660468847387238,-12.740524824732583,11048,131053,1780847,,
cost,BC-PPO,1,177,-10.192135452402031,-9.571096883300225,-10.192135452402031,-12.172411134477983,11053,131053,1791900,,
cost,BC-PPO,1,178,-9.727813759178936,-9.571096883300225,-9.727813759178936,-11.61862157747461,11032,131053,1802932,,
cost,BC-PPO,1,179,-9.871003293632011,-9.571096883300225,-9.871003293632011,-11.810578238101963,10288,131053,1813220,,
cost,BC-PPO,1,180,-10.022034354665799,-9.571096883300225,-10.022034354665799,-11.973819110210432,10854,131053,1824074,,
cost,BC-PPO,1,181,-9.991632935353998,-9.571096883300225,-9.991632935353998,-11.961004907855852,10193,131053,1834267,,
cost,BC-PPO,1,182,-9.874583610474094,-9.571096883300225,-9.874583610474094,-11.811092344469483,10202,131053,1844469,,
cost,BC-PPO,1,183,-10.235420687180707,-9.571096883300225,-10.235420687180707,-12.250623544663181,10011,131053,1854480,,
cost,BC-PPO,1,184,-9.79294476815408,-9.571096883300225,-9.79294476815408,-11.713948502121875,10783,131053,1865263,,
cost,BC-PPO,1,185,-10.271368368682454,-9.571096883300225,-10.271368368682454,-12.289944039122089,9809,131053,1875072,,
cost,BC-PPO,1,186,-10.014548752652962,-9.571096883300225,-10.014548752652962,-11.98314689091477,9975,131053,1885047,,
cost,BC-PPO,1,187,-10.151097314613368,-9.571096883300225,-10.151097314613368,-12.153370947253118,9959,131053,1895006,,
cost,BC-PPO,1,188,-10.20404902613079,-9.571096883300225,-10.20404902613079,-12.20665277504743,10085,131053,1905091,,
cost,BC-PPO,1,189,-10.269591359725581,-9.571096883300225,-10.269591359725581,-12.292087361542807,9823,131053,1914914,,
cost,BC-PPO,1,190,-10.095594734138244,-9.571096883300225,-10.095594734138244,-12.084055083287655,10282,131053,1925196,,
cost,BC-PPO,1,191,-9.88787484414223,-9.571096883300225,-9.88787484414223,-11.826043808163172,10415,131053,1935611,,
cost,BC-PPO,1,192,-9.776161075479381,-9.571096883300225,-9.776161075479381,-11.690450021546013,10733,131053,1946344,,
cost,BC-PPO,1,193,-9.923495482181352,-9.571096883300225,-9.923495482181352,-11.871692527609861,10397,131053,1956741,,
cost,BC-PPO,1,194,-10.085205963488379,-9.571096883300225,-10.085205963488379,-12.055126102909208,10278,131053,1967019,,
cost,BC-PPO,1,195,-9.907254322881316,-9.571096883300225,-9.907254322881316,-11.849736671976299,10377,131053,1977396,,
cost,BC-PPO,1,196,-10.13500719553112,-9.571096883300225,-10.13500719553112,-12.129556826489205,10102,131053,1987498,,
cost,BC-PPO,1,197,-10.106022359537041,-9.571096883300225,-10.106022359537041,-12.086001865969745,10721,131053,1998219,,
cost,BC-PPO,1,198,-10.12606196545227,-9.571096883300225,-10.12606196545227,-12.102030002302087,10693,131053,2008912,,
cost,BC-PPO,1,199,-9.903998917571395,-9.571096883300225,-9.903998917571395,-11.838917001620391,10397,131053,2019309,,
cost,BC-PPO,1,200,-9.883072558085942,-9.571096883300225,-9.883072558085942,-11.812514384729118,10372,131053,2029681,,
cost,BC-PPO,1,201,-10.375920036138949,-9.571096883300225,-10.375920036138949,-12.418324378706933,10131,131053,2039812,,
cost,BC-PPO,1,202,-10.305232083207173,-9.571096883300225,-10.305232083207173,-12.331330611424923,10656,131053,2050468,,
cost,BC-PPO,1,203,-10.164972804266185,-9.571096883300225,-10.164972804266185,-12.159744600653198,10653,131053,2061121,,
cost,BC-PPO,1,204,-10.17482667392159,-9.571096883300225,-10.17482667392159,-12.162026565695447,10714,131053,2071835,,
cost,BC-PPO,1,205,-9.648056399112297,-9.571096883300225,-9.648056399112297,-11.526033223564431,10796,131053,2082631,,
cost,BC-PPO,1,206,-10.265805759766522,-9.571096883300225,-10.265805759766522,-12.2638757561742,11293,131053,2093924,,
cost,BC-PPO,1,207,-9.953469931552783,-9.571096883300225,-9.953469931552783,-11.881077415212083,11358,131053,2105282,,
cost,BC-PPO,1,208,-10.212205910454893,-9.571096883300225,-10.212205910454893,-12.20977278643271,11225,131053,2116507,,
cost,BC-PPO,1,209,-10.395362237588662,-9.571096883300225,-10.395362237588662,-12.410802137819624,11144,131053,2127651,,
cost,BC-PPO,1,210,-10.782242355798763,-9.571096883300225,-10.782242355798763,-12.871974315445682,11178,131053,2138829,,
cost,BC-PPO,1,211,-10.788090003452183,-9.571096883300225,-10.788090003452183,-12.884662285059754,10775,131053,2149604,,
cost,BC-PPO,1,212,-10.777803417514583,-9.571096883300225,-10.777803417514583,-12.871890881580246,11118,131053,2160722,,
cost,BC-PPO,1,213,-11.054409199456085,-9.571096883300225,-11.054409199456085,-13.196599269422451,11404,131053,2172126,,
cost,BC-PPO,1,214,-11.49358151741281,-9.571096883300225,-11.49358151741281,-13.74876390371947,10409,131053,2182535,,
cost,BC-PPO,1,215,-11.182313924697496,-9.571096883300225,-11.182313924697496,-13.360663452091515,11271,131053,2193806,,
cost,BC-PPO,1,216,-10.99309116258576,-9.571096883300225,-10.99309116258576,-13.112096407580994,11441,131053,2205247,,
cost,BC-PPO,1,217,-12.45993783576322,-9.571096883300225,-12.45993783576322,-14.908337815281078,9982,131053,2215229,,
cost,BC-PPO,1,218,-11.329581430035981,-9.571096883300225,-11.329581430035981,-13.543063157558816,10716,131053,2225945,,
cost,BC-PPO,1,219,-11.709418070458995,-9.571096883300225,-11.709418070458995,-14.007189205060595,10626,131053,2236571,,
cost,BC-PPO,1,220,-11.728936308879735,-9.571096883300225,-11.728936308879735,-14.029476682312476,10564,131053,2247135,,
cost,BC-PPO,1,221,-11.337298965875362,-9.571096883300225,-11.337298965875362,-13.553051000337138,10690,131053,2257825,,
cost,BC-PPO,1,222,-11.847908755556006,-9.571096883300225,-11.847908755556006,-14.181624389391137,10833,131053,2268658,,
cost,BC-PPO,1,223,-11.501523349844927,-9.571096883300225,-11.501523349844927,-13.74794998600077,10854,131053,2279512,,
cost,BC-PPO,1,224,-11.9480186739694,-9.571096883300225,-11.9480186739694,-14.29610297562118,10698,131053,2290210,,
cost,BC-PPO,1,225,-11.732953600663288,-9.571096883300225,-11.732953600663288,-14.026563416741778,10963,131053,2301173,,
