condition,run,iteration,worker,candidate,navigation_score,distance_integral_L,release_elapsed,total_horizon,success
with_shelf,1,1,0,1,-13.145508268433016,13.145508268433016,4.10296630859375,300.0,False
with_shelf,1,1,1,2,-14.345502914467337,14.345502914467337,13.9150390625,300.0,False
with_shelf,1,1,2,3,-2.460015475451858,2.460015475451858,62.3038330078125,300.0,True
with_shelf,1,1,3,4,-10.376703605792764,10.376703605792764,121.51702880859375,300.0,False
with_shelf,1,2,0,5,-14.281896353689808,14.281896353689808,16.362411499023438,300.0,False
with_shelf,1,2,1,6,-2.460015475451858,2.460015475451858,62.3038330078125,300.0,True
with_shelf,1,2,2,7,-2.460015475451858,2.460015475451858,62.3038330078125,300.0,True
with_shelf,1,2,3,8,-2.1559774233262448,2.1559774233262448,49.142425537109375,300.0,True
with_shelf,1,3,0,9,-2.1559774233262448,2.1559774233262448,49.142425537109375,300.0,True
with_shelf,1,3,1,10,-2.1559774233262448,2.1559774233262448,49.142425537109375,300.0,True
with_shelf,1,3,2,11,-2.293842150531597,2.293842150531597,55.73150634765625,300.0,True
with_shelf,1,3,3,12,-2.1559774233262448,2.1559774233262448,49.142425537109375,300.0,True
with_shelf,1,4,0,13,-14.312311924468013,14.312311924468013,16.24688720703125,300.0,False
with_shelf,1,4,1,14,-14.457710856313764,14.457710856313764,16.114898681640625,300.0,False
with_shelf,1,4,2,15,-2.069533627549814,2.069533627549814,46.0350341796875,300.0,True
with_shelf,1,4,3,16,-2.100280817069621,2.100280817069621,48.03155517578125,300.0,True
with_shelf,1,5,0,17,-2.10868004062125,2.10868004062125,46.76104736328125,300.0,True
with_shelf,1,5,1,18,-2.10868004062125,2.10868004062125,46.76104736328125,300.0,True
with_shelf,1,5,2,19,-2.069533627549814,2.069533627549814,46.0350341796875,300.0,True
with_shelf,1,5,3,20,-2.10868004062125,2.10868004062125,46.76104736328125,300.0,True
with_shelf,1,6,0,21,-2.054271432148278,2.054271432148278,45.727020263671875,300.0,True
with_shelf,1,6,1,22,-2.054271432148278,2.054271432148278,45.727020263671875,300.0,True
with_shelf,1,6,2,23,-2.054271432148278,2.054271432148278,45.727020263671875,300.0,True
with_shelf,1,6,3,24,-2.1679963610953275,2.1679963610953275,48.6859130859375,300.0,True
with_shelf,1,7,0,25,-1.6860331889154123,1.6860331889154123,36.47053527832031,300.0,True
with_shelf,1,7,1,26,-2.321733162855661,2.321733162855661,52.7559814453125,300.0,True
with_shelf,1,7,2,27,-14.167511295788575,14.167511295788575,18.303955078125,300.0,False
with_shelf,1,7,3,28,-2.0726734629250707,2.0726734629250707,45.79302978515625,300.0,True
with_shelf,1,8,0,29,-1.6861664712444613,1.6861664712444613,36.45404052734375,300.0,True
with_shelf,1,8,1,30,-1.6860331889154123,1.6860331889154123,36.47053527832031,300.0,True
with_shelf,1,8,2,31,-1.6860331889154123,1.6860331889154123,36.47053527832031,300.0,True
with_shelf,1,8,3,32,-1.7079086036457145,1.7079086036457145,36.98750305175781,300.0,True
with_shelf,1,9,0,33,-1.7575073002349189,1.7575073002349189,38.89042663574219,300.0,True
