iteration,frame_index_zero_based,center_x,center_y
0,0,1344.0,896.0
0,1,1343.97607421875,896.1371459960938
0,2,1344.0693359375,896.1130981445312
0,3,1344.316162109375,895.8789672851562
0,4,1344.4366455078125,895.8358764648438
0,5,1344.5447998046875,895.759033203125
0,6,1344.8895263671875,895.38720703125
0,7,1345.1151123046875,895.072998046875
0,8,1345.24853515625,894.9173583984375
0,9,1345.6109619140625,894.4534912109375
0,10,1345.969482421875,893.8816528320312
0,11,1346.1676025390625,893.6005859375
0,12,1346.4891357421875,893.094482421875
0,13,1347.0496826171875,892.3740234375
0,14,1347.4071044921875,891.9241333007812
0,15,1347.690185546875,891.4131469726562
0,16,1348.33544921875,890.571533203125
0,17,1348.7357177734375,889.7462768554688
0,18,1348.962158203125,889.1294555664062
0,19,1349.5145263671875,888.132568359375
0,20,1350.0902099609375,887.0386962890625
0,21,1350.4012451171875,886.3335571289062
0,22,1350.834716796875,885.3079833984375
0,23,1351.6092529296875,884.0419311523438
0,24,1352.07080078125,883.1246337890625
0,25,1352.414794921875,882.16796875
0,26,1353.2445068359375,880.8222045898438
0,27,1353.8875732421875,879.4736938476562
0,28,1354.2135009765625,878.4946899414062
0,29,1354.7701416015625,877.07421875
0,30,1355.673583984375,875.4071044921875
0,31,1356.15673828125,874.0889282226562
0,32,1356.434814453125,872.758056640625
0,33,1357.328857421875,871.0801391601562
0,34,1358.125732421875,869.1864013671875
0,35,1358.5084228515625,867.8536987304688
0,36,1358.8077392578125,866.1328735351562
0,37,1359.848388671875,864.1331787109375
0,38,1360.5216064453125,861.9669189453125
0,39,1360.7738037109375,860.4360961914062
0,40,1361.0147705078125,858.3603515625
0,41,1362.133056640625,856.1365966796875
0,42,1362.777587890625,853.6812744140625
0,43,1362.9859619140625,852.0068969726562
0,44,1363.07861328125,849.7586669921875
0,45,1364.1141357421875,847.2637329101562
0,46,1364.7677001953125,844.3367309570312
0,47,1364.8089599609375,842.1473388671875
0,48,1364.593994140625,839.6499633789062
0,49,1365.271728515625,836.6882934570312
0,50,1366.0377197265625,833.4223022460938
0,51,1365.9783935546875,830.6710205078125
0,52,1365.61376953125,828.1146850585938
0,53,1365.9376220703125,824.832763671875
0,54,1366.8065185546875,821.3726196289062
0,55,1366.710205078125,818.032958984375
0,56,1366.264892578125,815.3177490234375
0,57,1366.2352294921875,811.7255859375
0,58,1367.144287109375,808.1293334960938
0,59,1367.1636962890625,804.406982421875
0,60,1366.761474609375,801.614501953125
0,61,1366.471435546875,797.9926147460938
0,62,1367.2835693359375,794.288330078125
0,63,1367.4478759765625,790.2903442382812
0,64,1367.0267333984375,787.2969360351562
0,65,1366.4923095703125,783.8050537109375
0,66,1367.049072265625,780.0479736328125
0,67,1367.35400390625,775.9873046875
0,68,1366.86767578125,772.7379150390625
0,69,1366.1328125,769.4769287109375
