"replicate_id","condition","iteration","best_distance_integral_score"
"naive_3","naive_seed","31","-3.8591750039737205"
"naive_3","naive_seed","32","-3.8591750039737205"
"naive_3","naive_seed","33","-3.8591750039737205"
"naive_3","naive_seed","34","-3.8591750039737205"
"naive_3","naive_seed","35","-3.8591750039737205"
"naive_3","naive_seed","36","-3.8591750039737205"
"naive_3","naive_seed","37","-3.8591750039737205"
"naive_3","naive_seed","38","-3.8591750039737205"
"naive_3","naive_seed","39","-3.8591750039737205"
"naive_3","naive_seed","40","-3.8591750039737205"
"transfer_1","two_dimensional_champion","0","-10.106416643851372"
"transfer_1","two_dimensional_champion","1","-10.056187501102944"
"transfer_1","two_dimensional_champion","2","-8.326110736438315"
"transfer_1","two_dimensional_champion","3","-8.326110736438315"
"transfer_1","two_dimensional_champion","4","-8.326110736438315"
"transfer_1","two_dimensional_champion","5","-8.326110736438315"
"transfer_1","two_dimensional_champion","6","-8.326110736438315"
"transfer_1","two_dimensional_champion","7","-8.326110736438315"
"transfer_1","two_dimensional_champion","8","-2.0503049555327575"
"transfer_1","two_dimensional_champion","9","-2.0503049555327575"
"transfer_1","two_dimensional_champion","10","-2.0503049555327575"
"transfer_1","two_dimensional_champion","11","-2.0503049555327575"
"transfer_1","two_dimensional_champion","12","-2.045375410251414"
"transfer_1","two_dimensional_champion","13","-2.0387262042834995"
"transfer_1","two_dimensional_champion","14","-2.0387262042834995"
"transfer_1","two_dimensional_champion","15","-2.0387262042834995"
"transfer_1","two_dimensional_champion","16","-2.0387262042834995"
"transfer_1","two_dimensional_champion","17","-2.0387262042834995"
"transfer_1","two_dimensional_champion","18","-2.0387262042834995"
"transfer_1","two_dimensional_champion","19","-2.0387262042834995"
"transfer_1","two_dimensional_champion","20","-2.0387262042834995"
"transfer_1","two_dimensional_champion","21","-2.0387262042834995"
"transfer_1","two_dimensional_champion","22","-2.0387262042834995"
"transfer_1","two_dimensional_champion","23","-2.0387262042834995"
"transfer_1","two_dimensional_champion","24","-2.0387262042834995"
"transfer_1","two_dimensional_champion","25","-2.0387262042834995"
"transfer_1","two_dimensional_champion","26","-2.0387262042834995"
"transfer_1","two_dimensional_champion","27","-2.0387262042834995"
"transfer_1","two_dimensional_champion","28","-2.0387262042834995"
"transfer_1","two_dimensional_champion","29","-2.0387262042834995"
"transfer_1","two_dimensional_champion","30","-2.0387262042834995"
"transfer_1","two_dimensional_champion","31","-2.0387262042834995"
"transfer_1","two_dimensional_champion","32","-2.0387262042834995"
"transfer_1","two_dimensional_champion","33","-2.0387262042834995"
"transfer_1","two_dimensional_champion","34","-2.037246827105129"
"transfer_1","two_dimensional_champion","35","-2.037246827105129"
"transfer_1","two_dimensional_champion","36","-2.037246827105129"
"transfer_1","two_dimensional_champion","37","-2.037246827105129"
