Sr,reference_A_D,lower_A_D,upper_A_D,interpolated_A_D,lower_factor,upper_factor,interpolated_factor,relative_difference_percent,lower_metric,upper_metric
0.16,1.0964413078720519,1.123852,1.129335,1.1265164449663032,1.0249996893870648,1.0300004130561147,1.0274297738313238,2.7429773831323834,-0.0008337064600868258,0.0008819275944601123
0.18,0.971321363181678,0.981035,0.990748,0.9896106771410134,1.0100004356812495,1.020000215741871,1.0188293129880583,1.8829312988058344,-0.0018721840138046309,0.000248292658424127
0.2,0.872769150829119,0.894588,0.898952,0.8970907293397496,1.0249995650627126,1.0299997417942737,1.0278671381630817,2.786713816308173,-0.0007849742967847833,0.0005837825147333976
0.225,0.7757302119400371,0.791245,0.799002,0.7979237286074532,1.0200002369653254,1.029999847500798,1.0286098392531495,2.8609839253149527,-0.002188778531712132,0.0003533752326351526
0.25,0.6992963377441228,0.727268,0.734261,0.7281320921759962,1.0399997265052348,1.0499997788758204,1.0412353860237498,4.1235386023749765,-0.0003433942540065123,0.0024356565058262307
0.285,0.6161871263715186,0.65932,0.665482,0.6601619171389171,1.0699996344981657,1.079999843422175,1.0713659680401773,7.136596804017725,-0.00038178426433130606,0.0024124986027870272
0.32,0.5523654911636842,0.596555,0.602078,0.5978105758282796,1.0800004879798346,1.089999302330754,1.0822735768102656,8.22735768102656,-0.0007775798712345429,0.002642821774051033
