N_c,mean_C_T,phase_averaged_peak_to_peak_C_T,rms_C_L,fixed_grid_dt,fixed_phase_dt,adjacent_waveform_rmse,mean_change_percent_from_previous
16,0.1158733378757591,0.45702230571971025,4.008512639246245,0.024,0.002343750052386896,,
32,0.07474712253344015,0.39478866743227914,3.831161285668709,0.024,0.001171875026193448,0.0497996261776308,55.02046627135381
64,0.06471588921200352,0.3852041912833883,3.8223912457817444,0.024,0.000585937513096724,0.01551569229446807,15.500417970886865
128,0.0585978864099122,0.37014853186090924,3.80334093538225,0.024,0.000292968756548362,0.008895520062462966,10.440654393733256
