N_c,mean_C_T,ct_95_halfwidth,mean_C_P_input,eta,eta_95_halfwidth
16,0.11587372990521147,0.0014032348333865422,0.3091474167226312,0.3748170731414328,0.0072526285948093395
32,0.07474839528038095,0.0010035486342975437,0.36826440382943926,0.20297480425232867,0.0035265744338271875
48,0.07295893041874534,0.0005789711991512188,0.4010959524047102,0.18189894458253963,0.002586850149511386
64,0.06471623195895433,0.0006727437612217179,0.4167628770081489,0.15528310108505405,0.0014795584161819205
80,0.06351251086340205,9.102932609371518e-05,0.42331857682190727,0.15003478311825222,0.0007565680822844396
96,0.06119745849479695,0.00046534930225590855,0.43235203120748733,0.1415454400061048,0.0012150203939909727
112,0.05869103999114636,0.0006096915255624531,0.43531709027613386,0.13482365223455156,0.002574968021676453
128,0.058597886409328365,0.00022340972396801156,0.4377186656577114,0.1338711163282923,0.000707400147224941
