"case_id","event","episode_time_T","absolute_sim_time_T","distance_L","bearing_rad","relative_crossflow_body_y_U","body_axis_force","yaw_moment_z_L2","vtk_available","vtk_synchronized","vtk_synchronization_tolerance_T","vtk_frame_index","vtk_sim_time_T","vtk_time_delta_T"
"iteration_19__phase_0__nominal","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_19__phase_0__nominal","peak_absolute_crossflow","8.42596435546875","208.42596435546875","12.05749797821045","0.19983476400375366","0.7331629991531372","-660.80112023487","3.993633318526207","True","False","0.05","2","212.50152587890625","4.0755615234375"
"iteration_19__phase_0__nominal","peak_absolute_yaw_moment","7.65594482421875","207.65594482421875","12.212358474731445","0.23916445672512054","0.6220963597297668","-695.0558158323448","4.188623963331338","True","False","0.05","2","212.50152587890625","4.8455810546875"
"iteration_19__phase_0__nominal","first_near_target","30.898956298828125","230.89895629882812","2.24686861038208","0.36357244849205017","-0.22939740121364594","4.6452221899540085","-0.022844468235462045","True","False","0.05","4","233.72598266601562","2.8270263671875"
"iteration_19__phase_0__nominal","final","33.720489501953125","233.72048950195312","0.7522433400154114","0.16432540118694305","-0.4151221513748169","-6.4160391937903185","-0.23800686357128598","True","True","0.05","4","233.72598266601562","0.0054931640625"
"seed__phase_0__nominal","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"seed__phase_0__nominal","peak_absolute_crossflow","31.60845947265625","231.60845947265625","8.722495079040527","1.1557825803756714","-0.5475761294364929","6.9261394889839405","-0.07414640664171657","True","False","0.05","4","237.50440979003906","5.8959503173828125"
"seed__phase_0__nominal","peak_absolute_yaw_moment","36.42652893066406","236.42652893066406","9.016011238098145","1.425612211227417","-0.3296923041343689","-48.48919483544578","-0.5295231367144879","True","False","0.05","4","237.50440979003906","1.077880859375"
"seed__phase_0__nominal","final","50.121429443359375","250.12142944335938","12.119363784790039","1.5245004892349243","0.2386251986026764","3.1843408641636697","0.04110087158688458","True","True","0.05","6","250.12692260742188","0.0054931640625"
"iteration_1__phase_0__nominal","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_1__phase_0__nominal","peak_absolute_crossflow","57.837982177734375","257.8379821777344","2.2199759483337402","0.009892759844660759","0.7235413193702698","1.1696889157297718","0.010811961655349478","True","False","0.05","6","262.3038330078125","4.465850830078125"
"iteration_1__phase_0__nominal","peak_absolute_yaw_moment","30.43695068359375","230.43695068359375","10.076457977294922","0.3349328339099884","0.376596599817276","-59.69267305415595","0.5683354559266105","True","False","0.05","3","225.00302124023438","-5.433929443359375"
"iteration_1__phase_0__nominal","first_near_target","57.77197265625","257.77197265625","2.2490291595458984","0.2418322116136551","0.19963069260120392","1.8929896695806168","0.003368182036865619","True","False","0.05","6","262.3038330078125","4.5318603515625"
"iteration_1__phase_0__nominal","final","62.29833984375","262.29833984375","0.7524005174636841","-0.5445681214332581","-0.48201537132263184","-10.218426952624691","-0.1734100359589661","True","True","0.05","6","262.3038330078125","0.0054931640625"
