before_stage,after_stage,phase_id,mechanism,pair_kind,before_case_id,after_case_id,before_target_reached,after_target_reached,capture_transition,both_target_reached,before_time_to_capture_T,after_time_to_capture_T,delta_time_to_capture_T,before_min_distance_L,after_min_distance_L,delta_min_distance_L,before_common_30T_control_effort_rate_accel_sq,after_common_30T_control_effort_rate_accel_sq,delta_common_30T_control_effort_rate_accel_sq,before_common_30T_mean_body_axis_force,after_common_30T_mean_body_axis_force,delta_common_30T_mean_body_axis_force,before_common_30T_rms_lateral_force,after_common_30T_rms_lateral_force,delta_common_30T_rms_lateral_force,before_common_30T_rms_yaw_moment,after_common_30T_rms_yaw_moment,delta_common_30T_rms_yaw_moment,before_common_30T_rms_relative_crossflow,after_common_30T_rms_relative_crossflow,delta_common_30T_rms_relative_crossflow,before_common_30T_tail_tangent_half_range_amplitude_rad,after_common_30T_tail_tangent_half_range_amplitude_rad,delta_common_30T_tail_tangent_half_range_amplitude_rad,before_acceleration_saturation_fraction,after_acceleration_saturation_fraction,delta_acceleration_saturation_fraction,before_near_target_sideslip_rms_rad,after_near_target_sideslip_rms_rad,delta_near_target_sideslip_rms_rad
seed,iteration_1,phase_0,bearing_steering,single_mechanism_source_change,seed__phase_0__nominal,iteration_1__phase_0__nominal,False,True,capture_gained,False,,62.3038330078125,,8.614948272705078,0.7495903372764587,-7.865357935428619,1441.4738317400277,1265.4213284506845,-176.05250328934312,-0.5764041447323406,-0.5222945762983165,0.054109568434024036,30.161686296998607,29.486249385256215,-0.6754369117423913,0.12838562545796542,0.11893465488870056,-0.00945097056926486,0.21631113392522844,0.20118788101511964,-0.015123252910108798,0.5269404306532258,0.5494524840079346,0.02251205335470874,0.9184770682466535,0.866260593220339,-0.052216475026314546,,0.4182933288578988,
seed,iteration_1,phase_1,bearing_steering,single_mechanism_source_change,seed__phase_1__nominal,iteration_1__phase_1__nominal,False,True,capture_gained,False,,61.940765380859375,,11.607734680175781,0.7491559982299805,-10.8585786819458,1441.4738317400277,1253.1321341137505,-188.3416976262772,-0.5788970437132936,-0.5056739256904178,0.07322311802287584,28.958842573384775,30.363619920272875,1.4047773468880997,0.12576762215857598,0.12029678998969465,-0.005470832168881334,0.2178567301715804,0.20007421782986548,-0.017782512341714907,0.5269404306532258,0.5449491795282497,0.018008748875023906,0.9068455366098295,0.8615698810158053,-0.04527565559402413,,0.3826931846800677,
seed,iteration_1,phase_2,bearing_steering,single_mechanism_source_change,seed__phase_2__nominal,iteration_1__phase_2__nominal,False,False,both_noncapturing,False,,,,12.423931121826172,12.421948432922363,-0.0019826889038085938,1441.4738317400277,1276.3322931122946,-165.1415386277331,-0.5703535662680099,-0.5190042055032473,0.0513493607647626,30.81354468037103,33.939089223870816,3.1255445434997853,0.1302218093324225,0.12670968377810493,-0.003512125554317569,0.22298889609487513,0.20083939241064253,-0.022149503684232602,0.5269404306532258,0.5295405540918117,0.002600123438585844,0.9035190235034412,0.849309377920864,-0.054209645582577126,,,
iteration_1,iteration_6,phase_0,course_response_and_authority_allocation,composite_refinement,iteration_1__phase_0__nominal,iteration_6__phase_0__nominal,True,True,capture_preserved,True,62.3038330078125,45.727020263671875,-16.576812744140625,0.7495903372764587,0.749966025352478,0.0003756880760192871,1265.4213284506845,1149.9739104973776,-115.44741795330697,-0.5222945762983165,-0.7054527717572391,-0.18315819545892253,29.486249385256215,77.0263617809888,47.54011239573258,0.11893465488870056,0.21232307088501493,0.09338841599631437,0.20118788101511964,0.24138258173798668,0.040194700722867044,0.5494524840079346,0.6887846673771671,0.1393321833692326,0.866260593220339,0.0,-0.866260593220339,0.4182933288578988,0.29458938092049564,-0.12370394793740319
iteration_1,iteration_6,phase_1,course_response_and_authority_allocation,composite_refinement,iteration_1__phase_1__nominal,iteration_6__phase_1__nominal,True,True,capture_preserved,True,61.940765380859375,47.278076171875,-14.662689208984375,0.7491559982299805,0.7477688789367676,-0.0013871192932128906,1253.1321341137505,1139.4455515671432,-113.68658254660727,-0.5056739256904178,-0.6820695781170011,-0.17639565242658328,30.363619920272875,86.69590042231101,56.33228050203814,0.12029678998969465,0.23278684997036203,0.11249005998066738,0.20007421782986548,0.2402952486184481,0.04022103078858261,0.5449491795282497,0.6857342168633027,0.140785037335053,0.8615698810158053,0.0,-0.8615698810158053,0.3826931846800677,0.29766725717510945,-0.08502592750495824
iteration_1,iteration_6,phase_2,course_response_and_authority_allocation,composite_refinement,iteration_1__phase_2__nominal,iteration_6__phase_2__nominal,False,True,capture_gained,False,,51.28729248046875,,12.421948432922363,0.7471410632133484,-11.674807369709015,1276.3322931122946,1118.2174028066083,-158.11489030568623,-0.5190042055032473,-0.658367687130366,-0.13936348162711865,33.939089223870816,137.922090884462,103.98300166059119,0.12670968377810493,0.34268074527345294,0.215971061495348,0.20083939241064253,0.2367706760025011,0.03593128359185857,0.5295405540918117,0.6835012420392561,0.15396068794744444,0.849309377920864,0.0,-0.849309377920864,,0.3104692495573872,
iteration_6,iteration_7,phase_0,half_cycle_steering_asymmetry,single_mechanism_source_change,iteration_6__phase_0__nominal,iteration_7__phase_0__nominal,True,True,capture_preserved,True,45.727020263671875,36.47053527832031,-9.256484985351562,0.749966025352478,0.7485308051109314,-0.0014352202415466309,1149.9739104973776,1303.869767236303,153.89585673892543,-0.7054527717572391,-0.9418958804664529,-0.2364431087092138,77.0263617809888,88.07064157104118,11.044279790052386,0.21232307088501493,0.24571235283065446,0.03338928194563953,0.24138258173798668,0.2845223132883842,0.04313973155039749,0.6887846673771671,0.7238381712134163,0.03505350383624917,0.0,0.0,0.0,0.29458938092049564,0.2956587977370597,0.0010694168165640838
iteration_6,iteration_7,phase_1,half_cycle_steering_asymmetry,single_mechanism_source_change,iteration_6__phase_1__nominal,iteration_7__phase_1__nominal,True,True,capture_preserved,True,47.278076171875,38.67608642578125,-8.60198974609375,0.7477688789367676,0.7482198476791382,0.00045096874237060547,1139.4455515671432,1291.6217602496936,152.1762086825504,-0.6820695781170011,-0.9306702647416554,-0.2486006866246543,86.69590042231101,122.33276397165925,35.636863549348234,0.23278684997036203,0.3246277132184849,0.09184086324812285,0.2402952486184481,0.2805639836639214,0.04026873504547329,0.6857342168633027,0.7162114779911857,0.03047726112788296,0.0,0.0,0.0,0.29766725717510945,0.29522089864969386,-0.0024463585254155817
iteration_6,iteration_7,phase_2,half_cycle_steering_asymmetry,single_mechanism_source_change,iteration_6__phase_2__nominal,iteration_7__phase_2__nominal,True,True,capture_preserved,True,51.28729248046875,40.82096862792969,-10.466323852539062,0.7471410632133484,0.7482412457466125,0.0011001825332641602,1118.2174028066083,1275.7080943962421,157.4906915896338,-0.658367687130366,-0.9099237502414166,-0.2515560631110506,137.922090884462,145.4419916954481,7.519900810986115,0.34268074527345294,0.3695396241695558,0.02685887889610289,0.2367706760025011,0.2810142890050682,0.0442436130025671,0.6835012420392561,0.7159572093535083,0.032455967314252154,0.0,0.0,0.0,0.3104692495573872,0.28980441635964954,-0.020664833197737653
iteration_7,iteration_12,phase_0,response_scheduled_redirect_burst,single_mechanism_family_extension,iteration_7__phase_0__nominal,iteration_12__phase_0__nominal,True,True,capture_preserved,True,36.47053527832031,34.71051025390625,-1.7600250244140625,0.7485308051109314,0.7465069890022278,-0.0020238161087036133,1303.869767236303,1333.6495450580935,29.779777821790503,-0.9418958804664529,-1.0055983443326053,-0.06370246386615241,88.07064157104118,95.02104171049557,6.950400139454388,0.24571235283065446,0.2648292638438671,0.019116911013212667,0.2845223132883842,0.29151283356037094,0.0069905202719867665,0.7238381712134163,0.7313471667471831,0.007508995533766827,0.0,0.0,0.0,0.2956587977370597,0.29486715609204434,-0.000791641645015384
iteration_7,iteration_12,phase_1,response_scheduled_redirect_burst,single_mechanism_family_extension,iteration_7__phase_1__nominal,iteration_12__phase_1__nominal,True,True,capture_preserved,True,38.67608642578125,37.174591064453125,-1.501495361328125,0.7482198476791382,0.7495511770248413,0.001331329345703125,1291.6217602496936,1315.411478880247,23.789718630553352,-0.9306702647416554,-0.9780028103863293,-0.04733254564467393,122.33276397165925,138.23212063065384,15.899356658994591,0.3246277132184849,0.3615891493022009,0.03696143608371599,0.2805639836639214,0.29242839532040976,0.011864411656488383,0.7162114779911857,0.7286113173065657,0.012399839315380023,0.0,0.0,0.0,0.29522089864969386,0.30340106933809285,0.008180170688398991
iteration_7,iteration_12,phase_2,response_scheduled_redirect_burst,single_mechanism_family_extension,iteration_7__phase_2__nominal,iteration_12__phase_2__nominal,True,True,capture_preserved,True,40.82096862792969,37.7574462890625,-3.0635223388671875,0.7482412457466125,0.7497133612632751,0.0014721155166625977,1275.7080943962421,1317.689925117203,41.98183072096094,-0.9099237502414166,-0.9811018578815002,-0.07117810764008359,145.4419916954481,175.82794486118516,30.38595316573705,0.3695396241695558,0.4476091939403965,0.07806956977084067,0.2810142890050682,0.28954252634070027,0.008528237335632072,0.7159572093535083,0.7282854354147623,0.012328226061254055,0.0,0.0,0.0,0.28980441635964954,0.29839520984805784,0.0085907934884083
iteration_12,iteration_18,phase_0,crossflow_conditioned_response_replaces_bearing_rate,response_signal_replacement,iteration_12__phase_0__nominal,iteration_18__phase_0__nominal,True,True,capture_preserved,True,34.71051025390625,33.946014404296875,-0.764495849609375,0.7465069890022278,0.7496292591094971,0.003122270107269287,1333.6495450580935,1340.8919792729926,7.242434214899049,-1.0055983443326053,-1.0283530146887359,-0.022754670356130546,95.02104171049557,118.01915926549886,22.99811755500329,0.2648292638438671,0.3179927743655259,0.0531635105216588,0.29151283356037094,0.2970997845978958,0.005586951037524879,0.7313471667471831,0.7425156475052737,0.011168480758090515,0.0,0.0,0.0,0.29486715609204434,0.3016334214972713,0.006766265405226957
