elapsed,center_x_L,center_y_L,head_x_L,head_y_L,distance_L,heading_rad,velocity_x_U,velocity_y_U,local_center_x_L,local_center_y_L,frame_origin_x_L,frame_origin_y_L,force_x_L2,force_y_L2,moment_z_L3,local_flow_x_U,local_flow_y_U,phi1_rad,phi2_rad,phi_dot1,phi_dot2,phi_ddot1,phi_ddot2,heading_reference_rad,heading_error_rad,heading_rate_rad_per_T,filtered_heading_error_rad,filtered_heading_rate_rad_per_T,feedback_scale,scheduled_asymmetry1,scheduled_asymmetry2,applied_asymmetry1,applied_asymmetry2,commanded_bias_rad,commanded_asymmetry,raw_commanded_asymmetry,phase_authority_weight,heading_update_index
0.005499999970197678,5.0,4.0,5.421365261077881,4.26450777053833,7.5652055740356445,-2.6224465370178223,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.13907274681525716,-0.13962278417895999,-0.1006533358707086,0.0006465419282976847,-18.30060662111076,0.1175530785092799,-2.6224465370178223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
0.010999999940395355,5.000009536743164,3.99998140335083,5.4214768409729,4.264346599578857,7.565188407897949,-2.6223573684692383,0.003550090594217181,-0.006790697108954191,5.000009536743164,3.99998140335083,0.0,0.0,0.00033421805093397476,0.019059583325012123,0.009518132974785404,-3.322444801888609e-5,-0.00012510955050889952,0.1379667790566464,-0.13958598254723129,-0.2010850481097389,0.006691205805110085,-18.260311415132726,1.09902980173928,-2.6224465370178223,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
0.016499999910593033,5.000043869018555,3.9999167919158936,5.4216108322143555,4.264152526855469,7.565167427062988,-2.622030735015869,0.008897829800844193,-0.0167368333786726,5.000043869018555,3.9999167919158936,0.0,0.0,0.0003138482450957573,0.017241929418341493,0.008664199187565964,-0.00010677817611030199,-0.00041379450299580277,0.1363117679563297,-0.1394865805323785,-0.3009111107790067,0.01807309370752691,-18.150193310942857,2.0694341752892313,-2.6224465370178223,-8.916854858398438e-5,0.03243788331747055,-8.916854858398438e-5,0.03243788331747055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
0.02199999988079071,5.000106334686279,3.999800443649292,5.421751976013184,4.263949871063232,7.565145015716553,-2.6213996410369873,0.013778306543827057,-0.025612635537981987,5.000106334686279,3.999800443649292,0.0,0.0,0.00017069136960275524,0.009202811626696165,0.004739413051100351,-0.00020479480392429362,-0.0007932927202484981,0.13411301156521205,-0.1392955652022512,-0.3997738914603373,0.03473006021133226,-17.975051130368893,3.0285393807387004,-2.6224465370178223,-0.000415802001953125,0.086366206407547,-0.000415802001953125,0.086366206407547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
0.027499999850988388,5.000192642211914,3.9996414184570312,5.421896457672119,4.2637457847595215,7.565120220184326,-2.6204724311828613,0.017554841935634613,-0.03217635303735733,5.000192642211914,3.9996414184570312,0.0,0.0,-3.355389132919553e-5,0.004489459117004423,0.0024509951954889515,-0.0003172195787837592,-0.0012187352199355208,0.13137769409347377,-0.13898437904391217,-0.4973304521017955,0.05657930182276809,-17.737556576377916,3.972589405423313,-2.6224465370178223,-0.001046895980834961,0.14308451116085052,-0.001046895980834961,0.14308451116085052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
0.032999999821186066,5.0002970695495605,3.99945068359375,5.422044277191162,4.2635416984558105,7.56509256362915,-2.6192800998687744,0.020441513508558273,-0.037189751863479614,5.0002970695495605,3.99945068359375,0.0,0.0,-8.116730501146188e-6,0.003662655215371964,0.002045621272987012,-0.00044424054388995227,-0.0016557225400431383,0.1281148647730993,-0.1385251265346203,-0.5932416978280811,0.08350045668734131,-17.438408408361944,4.894755456445146,-2.6224465370178223,-0.001974105834960937,0.19410257041454315,-0.001974105834960937,0.19410257041454315,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
0.03849999979138374,5.0004167556762695,3.999234199523926,5.422196865081787,4.263335227966309,7.565061569213867,-2.617846727371216,0.023051753640174866,-0.04154323786497116,5.0004167556762695,3.999234199523926,0.0,0.0,-0.00010519391289548073,0.004430301039496546,0.0023972143484419727,-0.0005659576366388707,-0.0020549090328922616,0.12433542994271216,-0.13789079814873884,-0.6871699728848002,0.11533243442156779,-17.077868284668938,5.787632346674796,-2.6224465370178223,-0.003166437149047851,0.23945122957229614,-0.003166437149047851,0.23945122957229614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
0.04399999976158142,5.000550270080566,3.9989941120147705,5.422353267669678,4.263126850128174,7.565028667449951,-2.616184711456299,0.025563137605786324,-0.045765288174152374,5.000550270080566,3.9989941120147705,0.0,0.0,-6.580345051092297e-5,0.005030502613342712,0.0026733532610711246,-0.0007139937544806563,-0.002402254235393437,0.12005213228929919,-0.1370554708336911,-0.7787813957495393,0.15187769446800622,-16.65662242929912,6.644592771720495,-2.6224465370178223,-0.0045998096466064444,0.2817334532737732,-0.0045998096466064444,0.2817334532737732,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
0.0494999997317791,5.000697612762451,3.9987311363220215,5.422512531280518,4.2629170417785645,7.564993858337402,-2.6143012046813965,0.028024720028042793,-0.04983346909284592,5.000697612762451,3.9987311363220215,0.0,0.0,-9.865803393231459e-5,0.004868577843825317,0.0025921215163606974,-0.0008924288964259186,-0.002689116483032671,0.1152795125639743,-0.135994478158099,-0.8677490456701501,0.19290776024385506,-16.17593643685296,7.460011999668094,-2.6224465370178223,-0.006261825561523438,0.32265010476112366,-0.006261825561523438,0.32265010476112366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
0.054999999701976776,5.000857830047607,3.9984467029571533,5.42267370223999,4.262706279754639,7.564957618713379,-2.612206220626831,0.030250582844018936,-0.053583331406116486,5.000857830047607,3.9984467029571533,0.0,0.0,-3.512919051904743e-5,0.004112967811711174,0.0021862666164040594,-0.001070426395790921,-0.002920907773363338,0.11003385992411889,-0.13468455991860193,-0.9537550305962771,0.23816695392636753,-15.637451889483522,8.228944350500749,-2.6224465370178223,-0.008145332336425781,0.36226266622543335,-0.008145332336425781,0.36226266622543335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1
