root,n,D_cells,h_over_D,mean_CP,error_vs_official,relative_error_vs_official,error_vs_experiment,relative_error_vs_experiment,wall_seconds,force_sample_count,actual_final_t_ctu,waterlily_version,cycle_mean_CP,cycle_std_CP,cycle_sem_CP,cycle_95_halfwidth_CP,cycle_means_CP,cycle_count
raw_data/cfd_validation/oscillating_cylinder/n16,16,2.6666666666666665,0.375,-5.742973377239678,-1.3529733772396781,0.3081943911707695,-1.2229733772396782,0.2705693312477164,22.292474031448364,801,86.43386650085449,1.6.1,-5.742859192819881,0.02242922417457765,0.007929928255298549,0.01875130066116907,"[-5.703920870109786, -5.7457086968191, -5.747890590256984, -5.7488349807161265, -5.770767288516863, -5.714405408096255, -5.758778778402254, -5.752566929641678]",8
raw_data/cfd_validation/oscillating_cylinder/n32,32,5.333333333333333,0.1875,-5.090969181788596,-0.7009691817885964,0.15967407330036365,-0.5709691817885965,0.126320615439955,31.36671209335327,801,86.40169715881348,1.6.1,-5.091011940578365,0.0270352866963002,0.009558417277138161,0.022602065294698284,"[-5.084225821476242, -5.092523894037675, -5.127259840612037, -5.131310811250964, -5.0832557081293945, -5.051168040772222, -5.089230851094891, -5.069120557253501]",8
raw_data/cfd_validation/oscillating_cylinder/n48,48,8.0,0.125,-4.393076107710239,-0.003076107710239029,0.0007007079066603711,0.12692389228976086,0.028080507143752407,35.294578075408936,801,86.40769958496094,1.6.1,-4.39307837242101,0.050711088940034545,0.017929077435426276,0.04239553130186586,"[-4.428277051086874, -4.361998372021827, -4.345418398908229, -4.352023978385199, -4.370360130004534, -4.380509414495954, -4.497625877285246, -4.408413757180217]",8
raw_data/cfd_validation/oscillating_cylinder/n64,64,10.666666666666666,0.09375,-4.2372672008411945,0.15273279915880522,0.03479107042341805,0.2827327991588051,0.0625515042386737,60.84866213798523,801,86.40066146850586,1.6.1,-4.237245189023296,0.06554226370468838,0.02317268955995104,0.05479470369435475,"[-4.176638923778733, -4.243788298571362, -4.3561801707157315, -4.21809435337673, -4.2610519804847105, -4.204344360381761, -4.149930598024002, -4.287932826853337]",8
raw_data/cfd_validation/oscillating_cylinder/n72,72,12.0,0.08333333333333333,-4.326280900869167,0.06371909913083229,0.014514601168754509,0.19371909913083218,0.04285820777230801,69.93558716773987,801,86.40078735351562,1.6.1,-4.326172469865858,0.12039397145709818,0.04256569681564688,0.10065187895099209,"[-4.494125774675267, -4.271341986921813, -4.263921045210716, -4.4254312891773315, -4.279072198830302, -4.475460160880733, -4.190438529198335, -4.209588774032368]",8
raw_data/cfd_validation/oscillating_cylinder/n80,80,13.333333333333334,0.075,-4.348629785049446,0.04137021495055393,0.009423739168691101,0.17137021495055382,0.037913764369591554,87.61156487464905,801,86.40990600585937,1.6.1,-4.348585394956191,0.12203809384707343,0.043146981861172946,0.10202639966638666,"[-4.26973987277666, -4.233489769166717, -4.437476457667212, -4.3969937735095765, -4.187740550802354, -4.550261786302609, -4.29374076725547, -4.419240182168929]",8
raw_data/cfd_validation/oscillating_cylinder/n96,96,16.0,0.0625,-4.436080324373043,-0.04608032437304299,0.010496657032583826,0.0839196756269569,0.018566299917468342,152.14590907096863,801,86.40506744384766,1.6.1,-4.436079940918594,0.09412392517737879,0.033277832882409875,0.07868957065447162,"[-4.364434230647497, -4.4521808332321475, -4.48776253365786, -4.572108259221394, -4.500005798704954, -4.428681975062386, -4.259562097294198, -4.423903799528314]",8
raw_data/cfd_validation/oscillating_cylinder/n112,112,18.666666666666668,0.05357142857142857,-4.422199677612128,-0.0321996776121285,0.0073347784993459,0.0978003223878714,0.02163723946634323,256.7282130718231,801,86.40796770368303,1.6.1,-4.422232106494586,0.14744608811279142,0.052130064381992,0.1232680144438496,"[-4.40293300574672, -4.490803218455698, -4.412629083120483, -4.462854851728271, -4.176461411184358, -4.302390297135085, -4.687155117057709, -4.442629867528362]",8
raw_data/cfd_validation/oscillating_cylinder/n128,128,21.333333333333332,0.046875,-4.406593595827922,-0.016593595827922414,0.00377986237538096,0.11340640417207748,0.02508991242745077,414.02215600013733,801,86.40256118774414,1.6.1,-4.40660773561962,0.08142944246197394,0.028789655476550782,0.06807671751778695,"[-4.322991090488552, -4.346452310987433, -4.411065481269224, -4.352518917747868, -4.426010380308619, -4.57730826393766, -4.367399363311401, -4.4491160769062]",8
