ablation,phase_id,nominal_target_reached,ablated_target_reached,nominal_time_to_capture_T,ablated_time_to_capture_T,delta_time_to_capture_T
bearing_steering,phase_0,True,False,33.725982666015625,,
bearing_steering,phase_1,True,False,35.244049072265625,,
bearing_steering,phase_2,True,False,36.190032958984375,,
phase_asymmetry,phase_0,True,True,33.725982666015625,45.727020263671875,12.00103759765625
phase_asymmetry,phase_1,True,True,35.244049072265625,47.278076171875,12.034027099609375
phase_asymmetry,phase_2,True,True,36.190032958984375,51.28729248046875,15.097259521484375
response_burst,phase_0,True,True,33.725982666015625,36.47053527832031,2.7445526123046875
response_burst,phase_1,True,True,35.244049072265625,38.67608642578125,3.432037353515625
response_burst,phase_2,True,True,36.190032958984375,40.82096862792969,4.6309356689453125
crossflow_force_assistance,phase_0,True,True,33.725982666015625,33.73699951171875,0.011016845703125
crossflow_force_assistance,phase_1,True,True,35.244049072265625,35.27156066894531,0.0275115966796875
crossflow_force_assistance,phase_2,True,True,36.190032958984375,35.816070556640625,-0.37396240234375
moment_assistance,phase_0,True,True,33.725982666015625,33.46748352050781,-0.2584991455078125
moment_assistance,phase_1,True,True,35.244049072265625,35.29356384277344,0.0495147705078125
moment_assistance,phase_2,True,True,36.190032958984375,35.86004638671875,-0.329986572265625
speed_release,phase_0,True,True,33.725982666015625,33.99549865722656,0.2695159912109375
speed_release,phase_1,True,True,35.244049072265625,35.244049072265625,0.0
speed_release,phase_2,True,True,36.190032958984375,35.667572021484375,-0.5224609375
