episode_time_T,distance_L,center_x_L,center_y_L,yaw_moment_z_L2,bearing_steering_clipped_effect_a1,bearing_steering_clipped_effect_a2,phase_asymmetry_clipped_effect_a1,phase_asymmetry_clipped_effect_a2,response_burst_clipped_effect_a1,response_burst_clipped_effect_a2
0.0,12.423931121826172,21.0,14.0,0.0017703002892339725,4.120434623748515,2.266239043061684,0.0,0.0,0.0,0.0
0.0054931640625,12.423916816711426,21.0,14.0,0.2815320462225559,4.117960593867961,2.269112396335827,-0.0066324286380314845,0.0005862339575308795,-0.0007238608539541502,6.398136131924304e-5
0.010986328125,12.423893928527832,20.99999237060547,14.000005722045898,0.18416841175011545,4.033909217826796,2.2276266441729025,-0.01381707845860447,0.0013771812159322216,-0.002448046768110501,0.00024400266922253167
0.0164794921875,12.423874855041504,20.99996566772461,14.000028610229492,-0.08570378185732608,3.9238238369014713,2.1741259892198697,-0.02426664281014901,0.0026762253784786694,-0.008049374901021977,0.0008877182377275972
0.02197265625,12.42387580871582,20.99993896484375,14.000068664550781,-0.10898543455200382,3.9298628601441408,2.1833018026253397,-0.03261994241724153,0.0039362612165794175,-0.010856986058172424,0.001310116756280344
0.0274810791015625,12.423896789550781,20.99993133544922,14.00010871887207,0.08519488762031102,4.029205380205866,2.2424979223005717,-0.03877402118278539,0.00510925153681363,-0.010201221855526299,0.0013442146791273757
0.032989501953125,12.423924446105957,20.999935150146484,14.000139236450195,0.16299335797494585,4.077333770682179,2.2727277781544837,-0.04352228751441878,0.006256946146355524,-0.008567506500629207,0.001231700580195394
0.038482666015625,12.423951148986816,20.999927520751953,14.000171661376953,0.03262080131142181,4.0245661699987725,2.2541892028481167,-0.05761258704951011,0.008990886471560877,-0.017928214429785427,0.002797835487538869
0.043975830078125,12.423978805541992,20.99990463256836,14.00021743774414,-0.09984942899871621,3.991891038371392,2.2438860048450646,-0.06731692740856055,0.01132162366609002,-0.02288132979966484,0.0038482713775582766
0.049468994140625,12.424025535583496,20.999887466430664,14.000272750854492,-0.030661116977218406,4.052653989795221,2.2858572285364804,-0.0779079293322038,0.014048173016395715,-0.026677279329190284,0.0048103837290440765
0.054962158203125,12.424081802368164,20.9998836517334,14.000324249267578,0.11805375484446756,4.159857254913241,2.345916478913958,-0.07807068316551558,0.015056112970642133,-0.018881878208370395,0.003641414163116252
0.0604705810546875,12.424142837524414,20.999881744384766,14.000370979309082,0.10116378312239771,4.1902251639356045,2.371366466226248,-0.08830123197837558,0.018176948473557886,-0.022889126590497355,0.0047117629654600535
0.06597900390625,12.424205780029297,20.99987030029297,14.0004243850708,-0.0488136478324499,4.164106464274903,2.373207236249635,-0.10786286809602075,0.023624103445626154,-0.03784480297736437,0.008288761055572635
0.07147216796875,12.424278259277344,20.99985122680664,14.000489234924316,-0.08898512606136677,4.197856434909644,2.4009801534110986,-0.11781688220228226,0.027359828999539815,-0.04171909702324683,0.009688147736005348
0.07696533203125,12.424361228942871,20.999839782714844,14.000555038452148,0.018702773718040078,4.2985660683286415,2.4665019852185743,-0.12855782934033222,0.03158384150063931,-0.04392685435713517,0.010791865518859467
0.0824737548828125,12.42445182800293,20.99983787536621,14.00061321258545,0.10501516775855002,4.405611725141625,2.5256421142047065,-0.12667557461457157,0.03288409933879599,-0.03360028459796993,0.008722400509281414
0.087982177734375,12.424544334411621,20.999834060668945,14.0006685256958,0.043285539054856215,4.428764605959402,2.5567562158635315,-0.14677863909238642,0.04020743108504732,-0.047875811877471364,0.01311473807501784
0.093475341796875,12.424644470214844,20.99982261657715,14.000732421875,-0.09130665567579399,4.434786749098336,2.576498660395469,-0.16382168739146152,0.04726402032608057,-0.06023284370120674,0.01737771350254036
0.098968505859375,12.424751281738281,20.999807357788086,14.000802993774414,-0.07742929225503659,4.505561178402591,2.628380219893348,-0.1761601083917821,0.053433512156441765,-0.06540002361928465,0.019837368340628103
0.1044769287109375,12.4248628616333,20.999799728393555,14.00086784362793,0.05233937277102818,4.633261271326623,2.703346748489201,-0.17850858236873357,0.05687332895675645,-0.05842889805384921,0.018615608815562013
0.1099853515625,12.424979209899902,20.999797821044922,14.000924110412598,0.07726209854403399,4.719654248797658,2.758109844582563,-0.1834929107041936,0.0613789068565449,-0.05616507824355432,0.018787380356394934
0.115478515625,12.42509937286377,20.999794006347656,14.000982284545898,-0.018804265471136006,4.731555659081517,2.7941331597931747,-0.2128642305824493,0.07470222047799346,-0.08124104279736555,0.02851059698618741
0.1209716796875,12.425225257873535,20.99978256225586,14.00104808807373,-0.10882060295381102,4.771271837929245,2.8269469249122974,-0.22090228869331252,0.08125115526989113,-0.08507079117729943,0.031290305337105195
0.1264801025390625,12.425353050231934,20.999771118164062,14.001114845275879,-0.057784240165427825,4.862862107428323,2.8927978442390057,-0.23332950528820007,0.08989245724491735,-0.0906451586864574,0.034921927433122946
0.131988525390625,12.425480842590332,20.999765396118164,14.00117015838623,0.06522156151581271,4.999281429497412,2.963625590609185,-0.22445385285163666,0.09057118531720754,-0.0739994240478925,0.029860104710427215
0.137481689453125,12.425609588623047,20.999765396118164,14.001218795776367,0.04615151992742472,5.058620701393804,3.0141074060486925,-0.23835984524405807,0.10076810539786862,-0.08378590596057922,0.03542101226843197
0.142974853515625,12.42574405670166,20.9997615814209,14.001272201538086,-0.08367097506004884,5.070902332980091,3.0457461708979245,-0.2585848428286863,0.11452822420309694,-0.10288063281557802,0.045566229065734376
0.1484832763671875,12.425880432128906,20.999753952026367,14.001330375671387,-0.10739831028931235,5.134616594308046,3.0920116061831235,-0.2642775090176963,0.1226198493539652,-0.1059290373047932,0.04914910332250155
0.15399169921875,12.426012992858887,20.99974822998047,14.001381874084473,-0.017531530624765868,5.237090040380421,3.1631672497029726,-0.27286360050991343,0.13269274721328816,-0.11013647268815552,0.05355903499793335
0.15948486328125,12.426140785217285,20.99974822998047,14.001420974731445,0.05694687221133643,5.357490676526929,3.217568983350887,-0.2555646439875927,0.1303885570678993,-0.08971662380783929,0.04577323741180628
