episode_time_T,distance_L
0.0,12.423931121826172
0.0054931640625,12.423940658569336
0.0110015869140625,12.423972129821777
0.016510009765625,12.424007415771484
0.022003173828125,12.424049377441406
0.027496337890625,12.424107551574707
0.0330047607421875,12.424171447753906
0.03851318359375,12.424234390258789
0.04400634765625,12.424307823181152
0.04949951171875,12.424392700195312
0.0550079345703125,12.424489974975586
0.060516357421875,12.424591064453125
0.066009521484375,12.424695014953613
0.071502685546875,12.424811363220215
0.0770111083984375,12.42493724822998
0.08251953125,12.425067901611328
0.0880126953125,12.425206184387207
0.093505859375,12.425349235534668
0.0990142822265625,12.425498962402344
0.104522705078125,12.425654411315918
0.110015869140625,12.42581558227539
0.115509033203125,12.425979614257812
0.121002197265625,12.426152229309082
0.1265106201171875,12.426324844360352
0.13201904296875,12.426497459411621
0.13751220703125,12.42667293548584
0.14300537109375,12.426852226257324
0.1485137939453125,12.427035331726074
0.154022216796875,12.42721176147461
0.159515380859375,12.427384376525879
0.165008544921875,12.427558898925781
0.1705169677734375,12.427736282348633
0.176025390625,12.42790699005127
0.1815185546875,12.428070068359375
0.18701171875,12.428223609924316
0.1925048828125,12.428380012512207
0.1980133056640625,12.428533554077148
0.203521728515625,12.428671836853027
0.209014892578125,12.428799629211426
0.214508056640625,12.42892074584961
0.220001220703125,12.429040908813477
0.225494384765625,12.429153442382812
0.2310028076171875,12.429247856140137
0.23651123046875,12.42933177947998
0.24200439453125,12.429411888122559
0.24749755859375,12.429485321044922
0.2530059814453125,12.429547309875488
0.258514404296875,12.429594039916992
0.264007568359375,12.429633140563965
0.269500732421875,12.429672241210938
0.2750091552734375,12.429701805114746
0.280517578125,12.429718971252441
0.2860107421875,12.429727554321289
0.29150390625,12.429731369018555
0.2969970703125,12.429734230041504
0.3025054931640625,12.429733276367188
0.308013916015625,12.42972469329834
0.313507080078125,12.429709434509277
0.319000244140625,12.429694175720215
0.3245086669921875,12.429678916931152
0.33001708984375,12.429662704467773
0.33551025390625,12.429643630981445
0.34100341796875,12.429620742797852
0.3465118408203125,12.429601669311523
0.352020263671875,12.429584503173828
0.357513427734375,12.429574966430664
0.363006591796875,12.429563522338867
0.3685150146484375,12.42955207824707
0.3740234375,12.429545402526855
0.3795166015625,12.429547309875488
0.385009765625,12.42955493927002
0.3905181884765625,12.429567337036133
0.396026611328125,12.429579734802246
0.401519775390625,12.429597854614258
0.407012939453125,12.4296293258667
0.4125213623046875,12.429669380187988
0.41802978515625,12.429709434509277
0.42352294921875,12.429750442504883
0.42901611328125,12.429804801940918
0.4345245361328125,12.429872512817383
0.440032958984375,12.429944038391113
0.445526123046875,12.430013656616211
0.451019287109375,12.430091857910156
0.456512451171875,12.430188179016113
0.4620208740234375,12.430289268493652
0.467529296875,12.430391311645508
