frame_index,sim_time,center_x,center_y
1,200.0054931640625,1344.0001220703125,896.0
2,200.3134765625,1344.1334228515625,896.078369140625
3,200.62698364257812,1344.677734375,895.8712768554688
4,200.9405059814453,1345.4498291015625,895.5980834960938
5,201.25399780273438,1346.3795166015625,895.371826171875
6,201.5675048828125,1347.7325439453125,894.7803955078125
7,201.87551879882812,1348.987060546875,894.5367431640625
8,202.18899536132812,1350.7130126953125,893.8380126953125
9,202.5025177001953,1352.4249267578125,893.3716430664062
10,202.8160400390625,1354.3291015625,892.8123168945312
11,203.1295166015625,1356.563232421875,892.054443359375
12,203.44288635253906,1358.343994140625,891.4302978515625
13,203.75088500976562,1360.560546875,890.1035766601562
14,204.06439208984375,1362.1134033203125,889.0035400390625
15,204.37789916992188,1364.062255859375,887.36962890625
16,204.69140625,1365.5155029296875,884.906005859375
17,205.0048828125,1365.8701171875,882.5912475585938
18,205.31289672851562,1367.695068359375,878.56689453125
19,205.6264190673828,1367.04248046875,875.2562255859375
20,205.93991088867188,1368.0823974609375,870.0234985351562
21,206.25341796875,1367.6181640625,864.3404541015625
22,206.56692504882812,1366.93017578125,858.2838745117188
23,206.88043212890625,1367.8759765625,850.8974609375
24,207.1884307861328,1366.452392578125,844.6304931640625
25,207.501953125,1367.8040771484375,836.3717651367188
26,207.8154296875,1367.116455078125,828.3515625
27,208.12893676757812,1366.844482421875,819.7506713867188
28,208.4424591064453,1368.4075927734375,810.3670043945312
29,208.75045776367188,1367.4954833984375,802.6063232421875
30,209.06396484375,1369.568115234375,792.9513549804688
31,209.37747192382812,1369.7191162109375,783.7921142578125
32,209.69097900390625,1369.6134033203125,774.7449951171875
33,210.0044708251953,1371.6649169921875,765.0050659179688
34,210.3175811767578,1369.646484375,756.60595703125
35,210.6255645751953,1369.968994140625,746.625
36,210.9390869140625,1368.648681640625,737.4951171875
37,211.25259399414062,1366.006591796875,729.7333984375
38,211.56607055664062,1365.249267578125,720.9364624023438
39,211.8795928955078,1361.1917724609375,715.007568359375
40,212.18760681152344,1358.395263671875,707.620361328125
41,212.5010986328125,1353.8985595703125,701.230712890625
42,212.81460571289062,1348.4266357421875,696.0515747070312
43,213.12811279296875,1344.1129150390625,689.5181274414062
44,213.4416046142578,1337.4129638671875,686.0238647460938
45,213.755126953125,1332.4599609375,679.9091796875
46,214.06314086914062,1325.490966796875,676.252685546875
47,214.37661743164062,1318.91259765625,671.249267578125
48,214.69000244140625,1312.1864013671875,666.2400512695312
49,215.0034942626953,1304.597900390625,662.6015625
50,215.31700134277344,1298.4105224609375,656.6448974609375
51,215.625,1290.556884765625,653.8946533203125
52,215.93850708007812,1284.15234375,647.9820556640625
53,216.25198364257812,1275.9979248046875,644.7122192382812
54,216.5655059814453,1268.4013671875,640.0355834960938
55,216.8790283203125,1260.533447265625,635.91455078125
56,217.1925048828125,1251.9991455078125,633.2330322265625
57,217.50051879882812,1244.4422607421875,628.7574462890625
58,217.81402587890625,1235.318115234375,627.862548828125
59,218.12754821777344,1227.324462890625,623.9080200195312
60,218.4410400390625,1218.06298828125,623.5929565429688
61,218.75454711914062,1209.4227294921875,620.7471923828125
62,219.06253051757812,1200.4056396484375,619.1937255859375
63,219.37603759765625,1191.37353515625,617.0881958007812
64,219.68955993652344,1183.01025390625,613.0607299804688
65,220.0030517578125,1174.1282958984375,610.7653198242188
66,220.31655883789062,1166.7181396484375,604.8674926757812
67,220.63006591796875,1158.3427734375,602.4824829101562
68,220.93807983398438,1151.27587890625,596.928466796875
69,221.25157165527344,1142.9923095703125,594.2713012695312
70,221.56509399414062,1134.942626953125,591.0073852539062
71,221.87857055664062,1126.78173828125,588.457275390625
72,222.19207763671875,1118.148681640625,588.3256225585938
73,222.50009155273438,1109.826416015625,586.436767578125
74,222.8135986328125,1100.97705078125,588.4794311523438
75,223.12710571289062,1092.1800537109375,587.1510620117188
76,223.44061279296875,1083.1224365234375,589.2647705078125
77,223.75411987304688,1073.926513671875,588.2360229492188
78,224.06761169433594,1064.5111083984375,588.6748657226562
79,224.37562561035156,1055.1678466796875,587.7838745117188
80,224.68911743164062,1045.760009765625,585.7301635742188
81,225.00262451171875,1036.2291259765625,585.0252685546875
82,225.31613159179688,1027.1617431640625,581.4234008789062
83,225.629638671875,1017.8524169921875,581.3779907226562
84,225.9429931640625,1008.8140869140625,577.9429321289062
85,226.2509765625,999.6266479492188,578.4894409179688
86,226.56448364257812,990.2179565429688,576.7193603515625
87,226.87799072265625,980.7682495117188,577.0584106445312
88,227.1914825439453,971.3250732421875,577.4067993164062
89,227.5050048828125,961.9591674804688,577.272216796875
90,227.81300354003906,953.0249633789062,579.356689453125
91,228.12649536132812,943.7354125976562,578.7574462890625
92,228.44000244140625,935.1262817382812,581.9110107421875
93,228.75352478027344,926.0900268554688,581.4747314453125
94,229.0670166015625,917.7866821289062,584.7060546875
95,229.37503051757812,909.1484985351562,585.5540771484375
96,229.68853759765625,900.6585693359375,588.1380004882812
97,230.00201416015625,892.2394409179688,590.8533935546875
98,230.31553649902344,883.4505615234375,592.3915405273438
99,230.62904357910156,875.2074584960938,596.0718994140625
100,230.94253540039062,866.0559692382812,596.2876586914062
101,231.25054931640625,857.6857299804688,599.5928955078125
102,231.56405639648438,848.1405639648438,599.1422729492188
103,231.8775634765625,838.8024291992188,601.2052001953125
104,232.19107055664062,828.8605346679688,600.9918823242188
105,232.50457763671875,818.8626708984375,601.5523681640625
106,232.81256103515625,809.0740966796875,602.4380493164062
107,233.12606811523438,798.973876953125,601.9896850585938
108,233.43959045410156,789.2684936523438,604.3197631835938
109,233.75308227539062,779.1797485351562,603.8560180664062
110,234.06658935546875,769.9156494140625,607.4056396484375
111,234.38009643554688,759.8933715820312,607.964111328125
112,234.6881103515625,750.6387939453125,611.8569946289062
113,235.00160217285156,740.6734619140625,614.3745727539062
114,235.31512451171875,730.6809692382812,617.4293212890625
115,235.62860107421875,720.9608764648438,621.184326171875
116,235.94210815429688,710.5770263671875,622.2039184570312
117,236.2501220703125,701.0384521484375,625.61376953125
118,236.56361389160156,690.55859375,624.5060424804688
119,236.87713623046875,680.4496459960938,626.1157836914062
120,237.19052124023438,669.8264770507812,624.0648193359375
121,237.50399780273438,659.1297607421875,623.2907104492188
122,237.81752014160156,648.2662963867188,622.1192626953125
123,237.82852172851562,647.9186401367188,621.9855346679688
