frame_index,sim_time,center_x,center_y
1,200.0054931640625,1344.0,896.0
2,200.3134765625,1344.065673828125,896.0786743164062
3,200.62698364257812,1344.4312744140625,895.8809204101562
4,200.9405059814453,1344.91259765625,895.6173095703125
5,201.25399780273438,1345.39013671875,895.354248046875
6,201.5675048828125,1346.177734375,894.6884765625
7,201.87551879882812,1346.8487548828125,894.3584594726562
8,202.18899536132812,1347.884521484375,893.5750732421875
9,202.5025177001953,1348.8369140625,892.9240112304688
10,202.8160400390625,1349.760498046875,892.0735473632812
11,203.1295166015625,1350.8389892578125,890.7855224609375
12,203.44288635253906,1351.543701171875,889.8479614257812
13,203.75088500976562,1352.9071044921875,888.289794921875
14,204.06439208984375,1353.487548828125,887.154296875
15,204.37789916992188,1354.874755859375,885.2182006835938
16,204.69140625,1355.3258056640625,883.1885375976562
17,205.0048828125,1355.53369140625,880.6838989257812
18,205.31289672851562,1356.1256103515625,876.69091796875
19,205.6264190673828,1354.6629638671875,873.1781616210938
20,205.93991088867188,1355.244384765625,867.6049194335938
21,206.25341796875,1353.373779296875,862.3761596679688
22,206.56692504882812,1352.414794921875,855.6846923828125
23,206.88043212890625,1351.40966796875,848.2537231445312
24,207.1884307861328,1348.959228515625,841.4505004882812
25,207.501953125,1349.062255859375,832.8635864257812
26,207.8154296875,1346.3482666015625,825.5355834960938
27,208.12893676757812,1345.2713623046875,816.5689086914062
28,208.4424591064453,1343.6119384765625,807.6008911132812
29,208.75045776367188,1340.737060546875,799.578857421875
30,209.06396484375,1340.350341796875,789.9682006835938
31,209.37747192382812,1336.962158203125,782.3248901367188
32,209.69097900390625,1335.2332763671875,773.040771484375
33,210.0044708251953,1332.349609375,764.2293090820312
34,210.3179931640625,1328.2015380859375,756.5043334960938
35,210.6259765625,1325.7188720703125,747.6287231445312
36,210.93948364257812,1320.03857421875,741.5601806640625
37,211.25299072265625,1315.6876220703125,733.7203979492188
38,211.56649780273438,1309.0693359375,727.855712890625
39,211.8800048828125,1301.9459228515625,722.5423583984375
40,212.18801879882812,1295.0306396484375,716.9920654296875
41,212.50152587890625,1286.2550048828125,714.2860107421875
42,212.81500244140625,1278.48876953125,709.271240234375
43,213.12852478027344,1268.848388671875,708.0046997070312
44,213.4420166015625,1260.132568359375,703.9542846679688
45,213.75003051757812,1250.373046875,702.6874389648438
46,214.06353759765625,1240.6651611328125,700.174560546875
47,214.37704467773438,1230.848388671875,697.9824829101562
48,214.69039916992188,1220.757080078125,696.7603149414062
49,215.00390625,1211.3245849609375,693.3580932617188
50,215.31741333007812,1201.165283203125,692.52587890625
51,215.62539672851562,1192.383544921875,688.0651245117188
52,215.93890380859375,1182.455078125,686.6206665039062
53,216.2523956298828,1173.5654296875,681.6315307617188
54,216.56591796875,1163.9527587890625,678.634033203125
55,216.87942504882812,1154.78955078125,674.2174682617188
