frame_index,sim_time,center_x,center_y
1,200.0054931640625,1344.0,896.0
2,200.3134765625,1344.0760498046875,896.0685424804688
3,200.62698364257812,1344.46630859375,895.8446044921875
4,200.9405059814453,1344.9757080078125,895.5348510742188
5,201.25399780273438,1345.445556640625,895.1774291992188
6,201.5675048828125,1346.2376708984375,894.3994750976562
7,201.87551879882812,1346.9493408203125,893.9364624023438
8,202.18899536132812,1348.0379638671875,892.9681396484375
9,202.5025177001953,1348.982421875,892.078857421875
10,202.8160400390625,1349.961669921875,891.00439453125
11,203.1295166015625,1351.1234130859375,889.445556640625
12,203.44288635253906,1351.954345703125,888.158447265625
13,203.75088500976562,1353.3531494140625,886.0753784179688
14,204.06439208984375,1354.1029052734375,884.3186645507812
15,204.37789916992188,1355.403564453125,881.7744750976562
16,204.69140625,1356.068115234375,878.613525390625
17,205.0048828125,1355.982666015625,875.277099609375
18,205.31289672851562,1357.14111328125,870.324951171875
19,205.6264190673828,1355.9073486328125,866.0070190429688
20,205.93991088867188,1356.6126708984375,859.8301391601562
21,206.25341796875,1355.53369140625,853.5258178710938
22,206.56692504882812,1354.292236328125,846.7711791992188
23,206.88043212890625,1354.3592529296875,838.9940185546875
24,207.1884307861328,1351.955810546875,832.6723022460938
25,207.501953125,1352.098388671875,824.3585815429688
26,207.8154296875,1349.7969970703125,816.9103393554688
27,208.12893676757812,1347.8343505859375,808.900634765625
28,208.4424591064453,1346.7957763671875,800.3466186523438
29,208.75045776367188,1343.5257568359375,793.8999633789062
30,209.06396484375,1342.7862548828125,785.302490234375
31,209.37747192382812,1339.281982421875,778.7015991210938
32,209.69097900390625,1336.448486328125,771.23193359375
33,210.0044708251953,1333.56005859375,763.786376953125
34,210.3179931640625,1328.962158203125,758.2763061523438
35,210.6259765625,1326.3638916015625,750.8717041015625
36,210.93948364257812,1320.9930419921875,746.3453369140625
37,211.25299072265625,1317.014404296875,739.5988159179688
38,211.56649780273438,1311.45166015625,734.3306274414062
39,211.8800048828125,1305.7586669921875,729.1109008789062
40,212.18801879882812,1300.69287109375,723.0474853515625
41,212.50152587890625,1293.9561767578125,719.2550048828125
42,212.81500244140625,1288.8604736328125,712.7013549804688
43,213.12852478027344,1281.7340087890625,709.3196411132812
44,213.4420166015625,1275.8480224609375,703.2119750976562
45,213.75003051757812,1268.6531982421875,699.0654907226562
46,214.06353759765625,1261.45263671875,694.3015747070312
47,214.37704467773438,1254.3546142578125,689.0499877929688
48,214.69039916992188,1246.288818359375,685.73486328125
49,215.00390625,1239.3651123046875,679.99609375
50,215.31741333007812,1230.8773193359375,677.6707763671875
51,215.62539672851562,1223.6868896484375,672.3120727539062
52,215.93890380859375,1214.837890625,669.84619140625
53,216.2523956298828,1206.433837890625,665.603271484375
54,216.56591796875,1197.5654296875,662.4313354492188
55,216.87942504882812,1188.431396484375,660.0
56,217.19293212890625,1179.684326171875,656.2417602539062
57,217.50091552734375,1170.344970703125,655.4385986328125
58,217.81443786621094,1161.548583984375,651.6295776367188
59,218.12796020507812,1151.8197021484375,651.6099853515625
60,218.44143676757812,1142.546142578125,648.4657592773438
61,218.75494384765625,1132.4862060546875,648.1222534179688
62,219.06292724609375,1122.73388671875,646.2841796875
63,219.37644958496094,1112.6407470703125,644.7654418945312
64,219.68997192382812,1102.376708984375,644.1317138671875
65,220.0034637451172,1092.4434814453125,641.471435546875
66,220.31695556640625,1081.97412109375,641.593994140625
67,220.63047790527344,1072.073486328125,638.198974609375
68,220.93849182128906,1061.76220703125,638.2484741210938
69,221.25198364257812,1051.7681884765625,634.7882690429688
70,221.56549072265625,1041.143310546875,633.6673583984375
71,221.87896728515625,1030.7734375,630.9482421875
72,222.19248962402344,1020.37939453125,628.3281860351562
73,222.50050354003906,1010.054443359375,626.7203979492188
74,222.81399536132812,1000.1162109375,622.9763793945312
75,223.12750244140625,989.6160888671875,622.4136962890625
76,223.44100952148438,979.8184814453125,618.6181030273438
77,223.75453186035156,969.3271484375,618.6917724609375
78,224.06251525878906,959.3493041992188,615.8776245117188
79,224.37603759765625,948.6843872070312,615.5321044921875
80,224.68951416015625,938.0261840820312,614.3104858398438
81,225.00302124023438,927.347412109375,613.1725463867188
82,225.31654357910156,916.6205444335938,613.6049194335938
83,225.63003540039062,906.1778564453125,611.6754150390625
84,225.93789672851562,895.7652587890625,612.9336547851562
85,226.2513885498047,885.5038452148438,610.3869018554688
86,226.56488037109375,874.8619995117188,611.3455200195312
87,226.87840270996094,864.4598388671875,608.9070434570312
88,227.19189453125,853.77734375,608.3909301757812
89,227.50540161132812,843.2276000976562,606.5704345703125
90,227.81341552734375,833.011474609375,604.2694702148438
91,228.12689208984375,822.4400024414062,603.2855224609375
92,228.44041442871094,812.4168090820312,599.5916748046875
93,228.75393676757812,802.0347900390625,599.32421875
94,229.0674285888672,792.4129638671875,595.5601196289062
95,229.37542724609375,782.504150390625,595.843994140625
96,229.68893432617188,772.6469116210938,593.7901000976562
